source	tweetId	label	instance	start	end	tweetText
lightTag	'451459804704567297'	location modifier	in	83	85	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
lightTag	'451459804704567297'	place name	Chile	87	92	RT @AlexandraUlmer: Now for the bad news.... Seismologist says Tuesday's 8.2 quake in #Chile was likely not 'the big one' http://t.co/wHwiX�??
lightTag	'451411290951782400'	place name	Chile	44	49	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
lightTag	'451411290951782400'	location modifier	the coast	124	133	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
lightTag	'451411290951782400'	type of impact	tsunamis	90	98	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue�??
lightTag	'382861569442713600'	location modifier	in	46	48	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
lightTag	'382861569442713600'	place name	Balochistan	91	102	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
lightTag	'382861569442713600'	type of impact	creates	59	66	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
lightTag	'382861569442713600'	location modifier	off the coast of	74	90	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
lightTag	'382861569442713600'	place name	Pakistan	50	58	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
lightTag	'382861569442713600'	item affected	island	67	73	@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
lightTag	'503657407403155456'	place name	California	77	87	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
lightTag	'503657407403155456'	location modifier	in	74	76	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
lightTag	'503657407403155456'	place name	US	25	27	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
lightTag	'503657407403155456'	item affected	State of emergency	0	18	State of emergency after US quake: A STATE of emergency has been declared in California after a strong quake r... http://t.co/BZJQeZdBmi
lightTag	'383169476029849600'	type of impact	injured	51	58	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
lightTag	'383169476029849600'	place name	Pakistan	97	105	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
lightTag	'383169476029849600'	location modifier	on	106	108	RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
