tweetId	label	instance	count	start	end	tweetText
'451489071404040192'	place name	Chile	5	0	5	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	severity or quantity	5	4	18	19	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	type of impact	Dead	5	20	24	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	severity or quantity	Several	4	26	33	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	type of impact	Seriously Injured	4	34	51	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	item affected	5	1	18	19	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	item affected	Several	1	26	33	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	severity or quantity	Seriously	1	34	43	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451489071404040192'	type of impact	Injured	1	44	51	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg
'451253361501675520'	place name	Chile	4	34	39	RT @jarekkuzniar: Nowe ZDJECIA z #Chile "@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…
'451253361501675520'	type of impact	Damage	4	50	56	RT @jarekkuzniar: Nowe ZDJECIA z #Chile "@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…
'451253361501675520'	type of impact	fires	4	59	64	RT @jarekkuzniar: Nowe ZDJECIA z #Chile "@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…
'451253361501675520'	location modifier	in northern	3	65	76	RT @jarekkuzniar: Nowe ZDJECIA z #Chile "@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…
'451253361501675520'	place name	Chile	5	78	83	RT @jarekkuzniar: Nowe ZDJECIA z #Chile "@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…
'451253361501675520'	location modifier	northern	2	68	76	RT @jarekkuzniar: Nowe ZDJECIA z #Chile "@RT_com: Damage & fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…
'593154950470848512'	place name	India	1	14	19	RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…
'593154950470848512'	place name	Nepal	3	73	78	RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…
'593154950470848512'	place name	Nepal'	1	73	79	RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…
'593154950470848512'	type of impact	deadly	2	81	87	RT @TIME: See India's rescue operations in the villages most affected by Nepal's deadly earthquake http://t.co/Tcirp7hceR http://t.co/LCMDo…
'503753464472956928'	place name	CALIFORNIA	4	11	21	QUAKE HITS CALIFORNIA State of emergency issued as officials weigh damage http://t.co/QGFN1lmDHT
'503753464472956928'	type of impact	damage	2	67	73	QUAKE HITS CALIFORNIA State of emergency issued as officials weigh damage http://t.co/QGFN1lmDHT
'503753464472956928'	severity or quantity	damage	1	67	73	QUAKE HITS CALIFORNIA State of emergency issued as officials weigh damage http://t.co/QGFN1lmDHT
'503753464472956928'	type of impact	State of emergency issued	1	22	47	QUAKE HITS CALIFORNIA State of emergency issued as officials weigh damage http://t.co/QGFN1lmDHT
'451327897299873793'	item affected	chileno	1	29	36	Mis oraciones para el pueblo chileno "@YourAnonNews: Update: 2 deaths reported following earthquake off the coast of Chile. #chilequake"
