round	type	ents_p	ents_r	ents_f
0	overall	0.7290322581	0.6752988048	0.7011375388
0	LOCATION	0.7983870968	0.8284518828	0.8131416838
0	IMPACT	0.8153846154	0.595505618	0.6883116883
0	MODIFIER	0.5125	0.5466666667	0.5290322581
0	AFFECTED	0.5	0.2380952381	0.3225806452
0	SEVERITY	0.7115384615	0.649122807	0.6788990826
1	overall	0.7243107769	0.6689814815	0.6955475331
1	LOCATION	0.8095238095	0.8292682927	0.8192771084
1	IMPACT	0.75	0.6428571429	0.6923076923
1	MODIFIER	0.487804878	0.3846153846	0.4301075269
1	SEVERITY	0.6153846154	0.6274509804	0.6213592233
1	AFFECTED	0.5416666667	0.325	0.40625
2	overall	0.7834821429	0.7343096234	0.7580993521
2	LOCATION	0.7831325301	0.9069767442	0.8405172414
2	AFFECTED	0.8928571429	0.5434782609	0.6756756757
2	SEVERITY	0.7586206897	0.6769230769	0.7154471545
2	IMPACT	0.8395061728	0.7816091954	0.8095238095
2	MODIFIER	0.59375	0.2923076923	0.3917525773
3	overall	0.7909407666	0.7787307033	0.7847882455
3	LOCATION	0.7914893617	0.8157894737	0.8034557235
3	SEVERITY	0.8064516129	0.78125	0.7936507937
3	IMPACT	0.8699186992	0.8230769231	0.8458498024
3	AFFECTED	0.8913043478	0.6612903226	0.7592592593
3	MODIFIER	0.5844155844	0.671641791	0.625
4	overall	0.7749140893	0.8111510791	0.7926186292
4	LOCATION	0.8017621145	0.8161434978	0.8088888889
4	SEVERITY	0.7837837838	0.8365384615	0.8093023256
4	MODIFIER	0.6375	0.7727272727	0.698630137
4	IMPACT	0.8292682927	0.8225806452	0.8259109312
4	AFFECTED	0.7073170732	0.7435897436	0.725
5	overall	0.8153310105	0.7774086379	0.7959183673
5	LOCATION	0.8034934498	0.7931034483	0.7982646421
5	AFFECTED	0.82	0.6721311475	0.7387387387
5	MODIFIER	0.652173913	0.6338028169	0.6428571429
5	IMPACT	0.8770491803	0.8230769231	0.8492063492
5	SEVERITY	0.875	0.8425925926	0.858490566
6	overall	0.7723880597	0.7353463588	0.7534121929
6	LOCATION	0.7416267943	0.6828193833	0.7110091743
6	MODIFIER	0.6666666667	0.6984126984	0.6821705426
6	SEVERITY	0.8045977011	0.7291666667	0.7650273224
6	AFFECTED	0.8163265306	0.7407407407	0.7766990291
6	IMPACT	0.84	0.8536585366	0.8467741935
7	overall	0.7433962264	0.7269372694	0.7350746269
7	IMPACT	0.7924528302	0.7567567568	0.7741935484
7	SEVERITY	0.8607594937	0.7555555556	0.8047337278
7	LOCATION	0.7341772152	0.7565217391	0.7451820128
7	AFFECTED	0.8387096774	0.7027027027	0.7647058824
7	MODIFIER	0.5454545455	0.5675675676	0.5562913907
8	overall	0.7192575406	0.6339468303	0.6739130435
8	LOCATION	0.7802690583	0.7532467532	0.7665198238
8	IMPACT	0.8	0.6	0.6857142857
8	MODIFIER	0.472972973	0.4487179487	0.4605263158
8	SEVERITY	0.7169811321	0.5507246377	0.6229508197
8	AFFECTED	0.7142857143	0.4838709677	0.5769230769
9	overall	0.7371937639	0.6490196078	0.6903023983
9	LOCATION	0.7704918033	0.7611336032	0.7657841141
9	SEVERITY	0.7169811321	0.6440677966	0.6785714286
9	AFFECTED	0.6896551724	0.5555555556	0.6153846154
9	MODIFIER	0.4821428571	0.3375	0.3970588235
9	IMPACT	0.8656716418	0.6590909091	0.7483870968
